[35manalyzer_1       |[0m 2023-01-03 11:51:59.808  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 317a1596-e596-40fd-ad95-47ced2b90370: (33126454132[242,425])(33126454131[1122,328])
[35manalyzer_1       |[0m 2023-01-03 11:52:04.147  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a3bca735-e762-4719-adb5-4ce7ac2140d1: (33126454132[242,427])(33126454131[1123,328])
[35manalyzer_1       |[0m 2023-01-03 11:52:19.532  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 42ba8a37-46e4-42b2-bafe-6ebd5023a408: (33126453626[1765,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:48:18.544  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job f7f09b58-e70f-46a7-9bf8-47b2bb202913: (33126453626[1765,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:48:35.302  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 65111798-2670-44c4-815b-3d96a7724a11: (33126453261[2477,1537])(33126453262[3671,1209])
[36;1manalyzer_3       |[0m 2023-01-03 11:49:03.715  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job f2f87873-811b-43da-9dc2-dd90d41aa3c9: (33126454132[242,427])(33126454131[1123,328])
[36;1manalyzer_3       |[0m 2023-01-03 11:49:08.055  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job df210913-094a-43f5-bd97-da9d5a0cbeb3: (33126454132[242,427])(33126454131[1123,328])
[36;1manalyzer_3       |[0m 2023-01-03 11:49:33.014  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 1e208a60-5451-43e2-ac86-fda781221259: (33126454632[19,606])(33126453126[608,1168])(33126454312[2918,1467])
[36;1manalyzer_3       |[0m 2023-01-03 11:49:37.567  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 787f0d8b-7cfe-4730-a70d-e13580ca966c: (33126454632[20,604])(33126453126[608,1168])(33126454312[2919,1469])
[36;1manalyzer_3       |[0m 2023-01-03 11:49:51.965  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 8bd8c990-6dd8-41e6-a1cb-89459e889908: (33126453626[1766,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:50:05.151  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job e711da65-df39-4d22-93b1-9448540d24ea: (33126454131[1123,326])
[36;1manalyzer_3       |[0m 2023-01-03 11:50:13.684  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 04b98484-fa18-45fa-a288-90be97964453: (33126454632[660,570])(33126453161[1757,963])
[36;1manalyzer_3       |[0m 2023-01-03 11:50:21.952  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5797e58f-6db0-4522-82c4-72689e889dae: (33126454632[19,606])(33126453126[608,1168])(33126454312[2918,1469])
[36;1manalyzer_3       |[0m 2023-01-03 11:50:35.054  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 90379e06-6d31-493f-bbdc-5980f30ee351: (33126531145[1606,915])(33126454632[2932,330])
[36;1manalyzer_3       |[0m 2023-01-03 11:51:04.114  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 0f002f98-6c28-4e73-a79c-2d03a2f9d6af: (33126454132[242,425])(33126454131[1122,328])
[36;1manalyzer_3       |[0m 2023-01-03 11:51:13.483  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a5b883c7-095d-4b44-a08f-41913e481802: (33126454632[18,602])(33126453126[608,1168])(33126454312[2919,1469])
[36;1manalyzer_3       |[0m 2023-01-03 11:51:29.940  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job f969e586-17fa-4527-bf9c-83187c99e6ca: (33126453626[1765,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:51:51.693  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 039c59d0-f424-4326-96b1-1fdfbbfde659: (33126453261[2477,1536])(33126453262[3672,1209])
[36;1manalyzer_3       |[0m 2023-01-03 11:51:59.138  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 53875add-cb48-4f6c-909f-799d49c4671b: (33126454632[18,602])(33126453126[607,1168])(33126454312[2919,1469])
[36;1manalyzer_3       |[0m 2023-01-03 11:52:03.544  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job f00a938d-a17e-46ed-8509-bc27b561e0d8: (33126454632[19,604])(33126453126[606,1168])(33126454312[2917,1469])
[36;1manalyzer_3       |[0m 2023-01-03 11:52:10.681  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 5235ba99-0aa5-449a-a015-6011f5fe6e7d: (33126454632[661,570])(33126453161[1755,965])(33126454123[2699,177])(33126453126[2868,853])
[36;1manalyzer_3       |[0m 2023-01-03 11:52:17.876  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job a26bf96e-d33c-4be4-9631-6e2413336912: (33126453626[1765,826])
[36;1manalyzer_3       |[0m 2023-01-03 11:52:38.101  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job ac5849e1-3149-4e6d-87e5-5933068eb49a: (33126453261[2476,1537])(33126453262[3671,1209])
[36;1manalyzer_3       |[0m 2023-01-03 11:52:58.798  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job 9e933ffc-0b1a-403f-9889-1a4643a2a8ca: (33126454132[243,425])(33126454131[1122,328])
[36;1manalyzer_3       |[0m 2023-01-03 11:53:03.000  INFO 1 --- [           main] c.z.a.worker.service.WorkerService       : Results for job b60bd922-819b-4858-b358-82f3d4d69548: (33126454132[242,427])(33126454131[1122,328])
